default_code,name,standard_price,list_price
CAR_1010_005,Carreau 10x10 ep12MM K924 rose (Cx80p=0 93M²),0,25985
CAR_1010_006,Carreau 10x10 ep12MM K933 rose(Cx80p=0 93M²),0,26792
CAR_1313_001,Carreau 13x13 Tam Ivoiry MS-SEC/1511 -CX72p=1.2168m²,21768,29082
CAR_1515_001,Carreau 15x15 blanc -CX44p=1m²,5708,6383
CAR_1515_002,Carreau 15x15 beige -CX44p=1m²,5242,8240
CAR_1515_003,Carreau 15x15 bleu -CX44p=1m²,5242,8240
CAR_1515_004,Carreau 15x15 gris -CX44p=1m²,6028,8240
CAR_1515_005,Carreau 15x15 rose -CX44p=1m²,6028,8240
CAR_1515_006,Carreau 15x15 vert -CX44p=1m²,6109,8240
CAR_1515_007,Carreau 15x15 LV M8022 -CX44p=1m²,13528,15900
CAR_1515_008,Carreau 15x15 LV M8028 -CX44p=1m²,11655,15900
