"id","journal_id.id","partner_id/id","period_id.id","date","name","state"
"FAT08876",105,"C53188",1,2011/01/04,"FAT08876","posted"
"FAT08873",105,"C53901",1,2011/01/04,"FAT08873","posted"
"FAT11394",105,"C53299",4,2011/04/22,"FAT11394","posted"
"FAA13747",105,"C22907",1,2011/01/04,"FAA13747","posted"
"FAA13748",105,"C22008",1,2011/01/04,"FAA13748","posted"
"FAA13750",105,"C22970",1,2011/01/04,"FAA13750","posted"
"FAA13749",105,"C22970",1,2011/01/04,"FAA13749","posted"
"FAA13751",105,"C22970",1,2011/01/04,"FAA13751","posted"
"FAA13752",105,"C22970",1,2011/01/04,"FAA13752","posted"
"FAT08874",105,"C53901",1,2011/01/04,"FAT08874","posted"
"FAA13946",105,"C22970",1,2011/01/07,"FAA13946","posted"
"FAA13949",105,"C22121",1,2011/01/07,"FAA13949","posted"
"FAA13948",105,"C22970",1,2011/01/07,"FAA13948","posted"
"FAA13947",105,"C22909",1,2011/01/07,"FAA13947","posted"
"FAA13950",105,"C22909",1,2011/01/07,"FAA13950","posted"
"FAA13991",105,"C22908",1,2011/01/07,"FAA13991","posted"
"FAA13951",105,"C22974",1,2011/01/07,"FAA13951","posted"
"FAA13954",105,"C22907",1,2011/01/07,"FAA13954","posted"
"FAI07045",105,"C22222",1,2011/01/07,"FAI07045","posted"
"FAA14662",105,"C22394",1,2011/01/18,"FAA14662","posted"
"FAA13953",105,"C22907",1,2011/01/07,"FAA13953","posted"
"FAA14013",105,"C22394",1,2011/01/07,"FAA14013","posted"
"FAA13952",105,"C22970",1,2011/01/07,"FAA13952","posted"
"FAA14099",105,"C22777",1,2011/01/10,"FAA14099","posted"
"FAA13959",105,"C22909",1,2011/01/07,"FAA13959","posted"
"FAA13958",105,"C22970",1,2011/01/07,"FAA13958","posted"
"FAI07046",105,"C22579",1,2011/01/07,"FAI07046","posted"
"FAA13960",105,"C22907",1,2011/01/07,"FAA13960","posted"
"FAA13962",105,"C22716",1,2011/01/07,"FAA13962","posted"
"FAA13961",105,"C22897",1,2011/01/07,"FAA13961","posted"
"FAA13981",105,"C22909",1,2011/01/07,"FAA13981","posted"
"FAA14036",105,"C22970",1,2011/01/08,"FAA14036","posted"
"FAA13967",105,"C24030",1,2011/01/07,"FAA13967","posted"
"FAA13963",105,"C24030",1,2011/01/07,"FAA13963","posted"
"FAA13964",105,"C22912",1,2011/01/07,"FAA13964","posted"
